Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
28000,I am a developer by profession,Yes,27.0,18,Monthly,50000.0,3888.0,Pakistan,Pakistani rupee,PKR,Firebase;SQLite,MySQL;SQLite,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,Man,Flex time or a flexible schedule;Remote work options;Financial performance or funding status of the company or organization,Neither satisfied nor dissatisfied,I am actively looking for a job,C#;Java;Kotlin,C;C#;C++;HTML/CSS;Java;JavaScript;PHP,Flutter;React Native;Xamarin,React Native;Xamarin,Github;Gitlab,Github;Gitlab;Trello,Yes,Somewhat important,Fairly important,Trouble with my direct manager,"Read company media, such as employee blogs or company culture videos",Once a year,Yes,No,Yes,Often: 1-2 days per week or more,Read ratings or reviews on third party sites like G2Crowd,Annoyed,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Visit another developer community (please name):,Windows,10 to 19 employees,Android;Windows,Android;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Too long,No,"Computer science, computer engineering, or software engineering",,React.js,A lot less welcome now than last year,40.0,8,4
28034,I am a developer by profession,Yes,22.0,14,Monthly,30000.0,2340.0,Pakistan,Pakistani rupee,PKR,Firebase;SQLite,Firebase;Microsoft SQL Server;MySQL,"Academic researcher;Developer, full-stack;Developer, mobile;Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",South Asian,Man,Office environment or company culture;Opportunities for professional development;Family friendliness,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Java;Kotlin;Python,C#;C++;Java,Flutter;Unity 3D;Unreal Engine,,,,Yes,Somewhat important,Fairly important,Curious about other opportunities;Better compensation,"Read company media, such as employee blogs or company culture videos",Once a year,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow,Windows,"Just me - I am a freelancer, sole proprietor, etc.",Android,Android,,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Somewhat more welcome now than last year,42.0,5,2
28657,I am a developer by profession,Yes,,22,Weekly,,,Pakistan,United States dollar,USD,DynamoDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite,DynamoDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite,"Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, full-stack;Developer, mobile;Engineering manager;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,Man,Opportunities for professional development,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Assembly;Bash/Shell/PowerShell;C++;HTML/CSS;Java;Kotlin;Python;Ruby;SQL;Swift,Assembly;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL;Swift,.NET;Unity 3D,,"Github;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",,No,Somewhat important,Very important,Better compensation,,,,Yes,Yes,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Watch help / tutorial videos,Windows,,Android;Arduino;AWS;Google Cloud Platform;Linux;Windows;WordPress,Android;AWS;Google Cloud Platform;Windows;WordPress,I have a great deal of influence,,Yes,"No, not at all",Less than once per month or monthly,Multiple times per day,Difficult,Appropriate in length,Yes,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Flask;Laravel;React.js;Ruby on Rails,Angular;Angular.js;Flask;Laravel;React.js;Ruby on Rails,A lot less welcome now than last year,,1,1
28666,I am a developer by profession,No,31.0,15,Monthly,390000.0,30348.0,Pakistan,Pakistani rupee,PKR,,Firebase;MongoDB,"Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,South Asian,Man,Remote work options;How widely used or impactful my work output would be;Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;Python;R,HTML/CSS;JavaScript,TensorFlow,,Slack;Trello,Slack;Trello,No,Neutral,Not at all important/not necessary,Better compensation;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family",Once a decade,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,MacOS,20 to 99 employees,,,I have a great deal of influence,Bisexual;Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,,React.js,jQuery,Just as welcome now as I felt last year,40.0,15,10
28723,I am a developer by profession,Yes,29.0,17,Yearly,150000.0,973.0,Pakistan,Pakistani rupee,PKR,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,MongoDB;MySQL;PostgreSQL;Redis;SQLite,"Developer, back-end;Developer, front-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian;Middle Eastern,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",,Assembly;C;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Apache Spark;Flutter;Hadoop;Node.js;React Native,Node.js;Pandas,Jira;Github;Gitlab;Slack;Microsoft Teams;Trello,Jira;Github;Gitlab;Slack;Microsoft Teams;Trello,Yes,Somewhat important,Very important,Better compensation;Better work/life balance;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,No,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos,Linux-based,"1,000 to 4,999 employees",Docker;Google Cloud Platform;Heroku;Linux;WordPress,Heroku;Linux;WordPress,I have a great deal of influence,,Yes,"Yes, definitely",A few times per month or weekly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,Web development or web design,Angular;Express;jQuery;Laravel;React.js;Vue.js,Angular;Express;jQuery;Laravel;React.js;Vue.js,Somewhat more welcome now than last year,45.0,8,6
28850,I am a developer by profession,Yes,26.0,20,Monthly,100000.0,7788.0,Pakistan,Pakistani rupee,PKR,Firebase,Firebase,"Developer, embedded applications or devices;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,Flex time or a flexible schedule;Remote work options;Family friendliness,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Kotlin,Kotlin,Flutter;TensorFlow,Flutter,Github;Trello;Stack Overflow for Teams,Github;Slack,Yes,Neutral,Critically important,Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow,Linux-based,500 to 999 employees,Android;Arduino;Google Cloud Platform;Heroku;iOS;Linux;Raspberry Pi,Android;Arduino;Google Cloud Platform;Linux,I have little or no influence,,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",Angular,Angular.js,A lot more welcome now than last year,50.0,8,4
28926,I am a developer by profession,Yes,30.0,18,Monthly,250000.0,19452.0,Pakistan,Pakistani rupee,PKR,MongoDB;MySQL;Oracle;PostgreSQL,MongoDB;MySQL;Oracle,"Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Slightly satisfied,I am actively looking for a job,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,.NET;Node.js;React Native,.NET,Jira;Github;Gitlab;Microsoft Teams,Jira;Github;Slack;Microsoft Teams,Yes,Somewhat important,Very important,Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,No,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,500 to 999 employees,Windows;WordPress,Windows;WordPress,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;jQuery;React.js;Vue.js,jQuery;React.js;Symfony,A lot less welcome now than last year,40.0,13,8
28931,I am a developer by profession,Yes,22.0,16,Yearly,,,Pakistan,United States dollar,USD,Firebase;MongoDB;MySQL;Oracle;PostgreSQL;Redis,Firebase;MongoDB;MySQL;Oracle,"Developer, back-end;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed part-time,South Asian,Man,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,Very dissatisfied,I am actively looking for a job,HTML/CSS;JavaScript;Python;SQL;TypeScript,Assembly;C;C++;HTML/CSS;Java;JavaScript;Python;SQL,Chef;Flutter;Node.js;Puppet;React Native,Keras;Node.js;Pandas;React Native,Github;Gitlab;Slack,Gitlab;Slack,No,Not at all important,Somewhat important,Better work/life balance,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,Yes,No,No,Often: 1-2 days per week or more,,Amused,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos,Windows,2 to 9 employees,Heroku;Kubernetes;Linux;Windows,Android;Arduino;Heroku;Windows;WordPress,I have little or no influence,Straight / Heterosexual,No,Neutral,,Multiple times per day,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Express;Gatsby;React.js;Vue.js,Express;React.js,A lot more welcome now than last year,50.0,4,4
29003,I am a student who is learning to code,No,,15,,,,Pakistan,,,,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,,,Flex time or a flexible schedule;Remote work options;Office environment or company culture,,"I’m not actively looking, but I am open to new opportunities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Computer science, computer engineering, or software engineering",,,,,4,
29116,I am a developer by profession,No,25.0,7,Monthly,1400.0,16800.0,Pakistan,United States dollar,USD,PostgreSQL,PostgreSQL,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Scientist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Southeast Asian,Man,Flex time or a flexible schedule;Remote work options;Financial performance or funding status of the company or organization,Very satisfied,"I’m not actively looking, but I am open to new opportunities",JavaScript;Ruby,JavaScript;Ruby,,,Github;Trello,Github,No,Neutral,Fairly important,Better compensation;Trouble with my teammates,,Every few months,Not sure,Yes,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,2 to 9 employees,AWS;Heroku;MacOS,MacOS,,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,Multiple times per day,Difficult,Too long,No,"Computer science, computer engineering, or software engineering",React.js;Ruby on Rails,React.js,Just as welcome now as I felt last year,8.0,7,4
29180,I am a developer by profession,Yes,,18,Monthly,,,Pakistan,United States dollar,USD,Couchbase;Firebase;PostgreSQL,MariaDB;MongoDB;MySQL;SQLite,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Python;Swift,HTML/CSS;JavaScript;PHP;Ruby;SQL,Flutter,Cordova,Slack;Microsoft Azure,Github;Gitlab,No,Somewhat important,Very important,Better compensation,"Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,,No,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Meditate;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Linux-based,2 to 9 employees,Docker;Linux,Android;WordPress,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Easy,Too long,No,Web development or web design,Angular;Angular.js,Drupal;jQuery;Ruby on Rails,Just as welcome now as I felt last year,40.0,12,9
29324,I code primarily as a hobby,Yes,,20,,,,Pakistan,,,MongoDB;MySQL,,"Developer, back-end;Developer, front-end",Some college/university study without earning a degree,"Not employed, but looking for work",,Man,,,,HTML/CSS;JavaScript;PHP;SQL,C++;HTML/CSS;JavaScript;PHP;SQL,Node.js,,Github,Github,,,Somewhat important,,,Every few months,Not sure,,No,,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Panic;Watch help / tutorial videos;Do other work and come back later,Windows,,WordPress,Windows,,,Yes,"Yes, somewhat",,A few times per month or weekly,Difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular.js;Laravel;React.js,jQuery,Somewhat more welcome now than last year,,3,
29982,I am a developer by profession,No,,13,Monthly,125000.0,9732.0,Pakistan,Pakistani rupee,PKR,PostgreSQL,MySQL;PostgreSQL,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Go;Python,JavaScript;Python,Ansible;Node.js,Ansible;Node.js,Gitlab;Slack,Gitlab;Slack,Yes,Somewhat important,Fairly important,Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,,Once a year,Not sure,Yes,No,Often: 1-2 days per week or more,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos,Linux-based,10 to 19 employees,AWS;Linux,Linux,I have little or no influence,,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Too long,,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",Django;Flask;Ruby on Rails,Angular.js,Just as welcome now as I felt last year,40.0,3,2
29985,I am a developer by profession,No,42.0,32,Monthly,50000.0,3888.0,Pakistan,Pakistani rupee,PKR,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;System administrator","Associate degree (A.A., A.S., etc.)","Independent contractor, freelancer, or self-employed",South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Financial performance or funding status of the company or organization",Slightly dissatisfied,I am actively looking for a job,HTML/CSS;JavaScript;PHP;Python;R;SQL;TypeScript,HTML/CSS;Java;JavaScript;PHP;SQL,Flutter;Node.js;React Native;TensorFlow;Torch/PyTorch,Cordova;Node.js,"Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Not at all important/not necessary,Better compensation;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase)",Once every few years,Not sure,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos,Windows,"Just me - I am a freelancer, sole proprietor, etc.",AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS;Microsoft Azure;Windows;WordPress,Linux;Windows;WordPress,,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,A few times per week,Easy,Appropriate in length,No,"A business discipline (such as accounting, finance, marketing, etc.)",Express;Flask;Gatsby;jQuery;React.js;Vue.js,Angular.js;Drupal;Express;jQuery,Somewhat more welcome now than last year,40.0,10,10
30408,I am a developer by profession,Yes,25.0,17,Monthly,,,Pakistan,Pakistani rupee,PKR,Firebase;Oracle,Microsoft SQL Server;MySQL;SQLite,"Academic researcher;Data scientist or machine learning specialist;Database administrator;Developer, full-stack;Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,Office environment or company culture;Opportunities for professional development;Family friendliness,Very satisfied,"I’m not actively looking, but I am open to new opportunities",,C#;HTML/CSS;Java;JavaScript;PHP;SQL,.NET Core;Flutter;Hadoop,.NET;Cordova;Node.js,,"Github;Gitlab;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Yes,Extremely important,Critically important,Just because;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Every few months,Yes,Yes,Yes,Rarely: 1-2 days per year or less,Start a free trial;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,"1,000 to 4,999 employees",AWS;iOS;MacOS,Android;Microsoft Azure;Windows,I have some influence,Bisexual,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;Django,ASP.NET;jQuery;Vue.js,Just as welcome now as I felt last year,50.0,7,3
30414,I am a developer by profession,Yes,26.0,20,Monthly,110000.0,8556.0,Pakistan,Pakistani rupee,PKR,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Redis;SQLite,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Redis,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;PHP;SQL;TypeScript,C++;HTML/CSS;JavaScript;PHP;SQL,Node.js;React Native,Node.js,Jira;Github;Slack;Trello;Stack Overflow for Teams,Jira;Github;Slack;Trello,Yes,Somewhat important,Very important,Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",Every few months,Not sure,Yes,No,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters),Visit Stack Overflow,MacOS,10 to 19 employees,Android;AWS;Docker;Heroku;iOS;Linux;MacOS;Raspberry Pi;Windows;WordPress,Docker;Heroku;iOS;Linux;MacOS;Windows;WordPress,I have some influence,,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Django;Express;jQuery;Laravel;React.js,Express;jQuery;Laravel;React.js,Somewhat less welcome now than last year,40.0,8,4
30416,I am a developer by profession,Yes,24.0,18,Monthly,,,Pakistan,Pakistani rupee,PKR,Firebase;MariaDB;MongoDB;MySQL;SQLite,MariaDB;MySQL;SQLite,"Academic researcher;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,How widely used or impactful my work output would be;Office environment or company culture;Family friendliness,Slightly satisfied,I am actively looking for a job,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,Assembly;C;C++;JavaScript;PHP;Python;SQL,Node.js,,Jira;Github;Gitlab;Slack;Stack Overflow for Teams,Jira;Github;Gitlab;Slack;Stack Overflow for Teams,No,Somewhat important,Very important,,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Not sure,,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow Talent (for hiring companies/recruiters),Visit Stack Overflow,MacOS,10 to 19 employees,Heroku;iOS;Linux;Windows;WordPress,Android;Heroku;iOS;Linux;Windows;WordPress,I have some influence,,Yes,"No, not really",Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;Express;Flask;jQuery;Laravel,Django;jQuery;Laravel;React.js,A lot more welcome now than last year,,8,2
30439,I am a developer by profession,Yes,25.0,19,Monthly,62000.0,4824.0,Pakistan,Pakistani rupee,PKR,Firebase;MySQL;Redis,Firebase;Microsoft SQL Server;MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Slightly dissatisfied,I am actively looking for a job,Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Cordova;Flutter;Hadoop;Node.js;React Native,.NET;Cordova;Node.js,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Neutral,Fairly important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,Yes,Yes,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow Talent (for hiring companies/recruiters),Meditate;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,MacOS,20 to 99 employees,Heroku;Linux;MacOS,Arduino;Heroku;Linux;MacOS;WordPress,I have some influence,Bisexual,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Django;Drupal;Express;jQuery;Laravel;React.js;Vue.js,Angular;Drupal;jQuery;Laravel;Vue.js,A lot more welcome now than last year,40.0,5,2
30519,I am a developer by profession,No,22.0,11,Yearly,,,Pakistan,Pakistani rupee,PKR,Firebase;SQLite,Firebase;MySQL;SQLite,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Southeast Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Kotlin,Assembly;C;C#;C++;Dart;Java;JavaScript;Kotlin;SQL,Flutter,.NET;.NET Core;Flutter;Node.js;Unity 3D,Github,Github,No,Somewhat important,Somewhat important,Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,,Every few months,No,Yes,Yes,Often: 1-2 days per week or more,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow,Linux-based,2 to 9 employees,Android;Linux,Android;Linux,,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,A lot more welcome now than last year,42.0,11,2
